Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,35
MR100.019(fita tear fio PET c/nylon 015 trama c/goma),,,17/11/2021,,,METRO,16mm,"1,98",,,,,,,,,,
MR100.019(fita tear fio PET c/nylon 015 trama c/goma),,,07/03/2022,,,METRO,10mm,"1,29",,,,,,,,,,
MR100.020(fita tear PET sarjada pré-encolh.c/goma Adidas),,,02/02/2023,,,METRO,10mm,"1,42",,,,,,,,,,
MR100.021(fita tear fio PET c/3listras c/goma),,,21/02/2022,,,METRO,16mm,"1,42",,,,,,,,,,
MR100.022(fita tear fio PET dupla face c/goma),,,14/12/2021,,,METRO,16mm,"1,98",,,,,,,,,,
MR100.023(fita fio PET cores C/ Goma),,,22/02/2022,,,METRO,12mm,"1,80",,,,,,,,,,
MR100.023(fita fio PET cores C/ Goma),,,22/02/2022,,,METRO,16mm,"2,40",,,,,,,,,,
MR100.023(fita fio PET cores C/ Goma),,,22/02/2022,,,METRO,17mm,"2,55",,,,,,,,,,
MR100.023(fita fio PET cores C/ Goma),,,22/02/2022,,,METRO,18mm,"2,70",,,,,,,,,,
MR100.028(fita tear PET cores c/goma),,,19/05/2022,,,METRO,14mm,"1,24",,,,,,,,,,
MR110.001(cad.tear recicl.6mm (6AL ou M10046),,,17/02/2021,,,PAR,100cm,"1,22",,,,,,,,,,
MR110.002(cad.tear reciclado 6mm M21020),,,19/10/2022,,,PAR,100cm,"1,14",,,,,,,,,,
MR110.002(cad.tear reciclado 8mm M21020),,,19/10/2022,,,PAR,100cm,"1,22",,,,,,,,,,
MR110.003(cad.tear reciclado 6mm (M12109),,,17/04/2021,,,PAR,100cm,"1,02",,,,,,,,,,
MR110.003(cad.tear reciclado 8mm (M12109),,,17/04/2021,,,PAR,100cm,"1,12",,,,,,,,,,
MR110.004(cad.tear reciclado 6mm (M12125),,,31/05/2022,,,PAR,100cm,"1,06",,,,,,,,,,
MR110.005(cad.tear PET 6MM cores M12119),,,30/03/2023,,,PAR,100cm,"1,06",,,,,,,,,,
MR110.005(cad.tear PET 8mm cores M12119),,,30/03/2023,,,PAR,100cm,"1,42",,,,,,,,,,
MR110.006(cad.tear reciclado 8mm (M12125),,,17/04/2021,,,PAR,100cm,"1,37",,,,,,,,,,
M110.008(cad.tear reciclado 6mm cores),,,31/05/2022,,,PAR,100cm,"1,10",,,,,,,,,,
MR110.009(cad.tear reciclado 6mm (6AL-F),,,17/04/2021,,,PAR,100cm,"1,38",,,,,,,,,,
MR110.010(cad.tera reciclado PET 6mm(M12109),,,26/08/2021,,,PAR,100cm,"0,96",,,,,,,,,,
MR110.013(cad.tear fio recicl.PET 6mm),,,18/11/2021,,,PAR,100cm,"1,40",,,,,,,,,,
"MR120.001(cad.tranç.16fu. Fio pet 1,2mm redondo Adidas)",,,02/03/2023,,,METRO,"1,2mm","0,54",,,,,"0,54",,,,,
"MR120.001(cad.tranç.16fu. Fio pet 1,2mm redondo Adidas)",,,06/09/2023,,,METRO,"1,2mm","0,54",,,,,,,,,,
MR120.002(Cad.tranç.16f.fio PET bicolor),,,10/02/2022,,,PAR,100cm,"1,46",,,,,"1,46",,,,,
MR120.002(Cad.tranç.16f.fio PET bicolor),,,06/09/2023,,,PAR,100cm,"1,46",,,,,,,,,,
MR120.003(cad.tranç.16f.fio PET c/det.trabalhado cores),,,12/04/2022,,,PAR,100cm,"1,46",,,,,"1,46",,,,,
MR120.003(cad.tranç.16f.fio PET c/det.trabalhado cores),,,06/09/2023,,,PAR,100cm,"1,46",,,,,,,,,,
MR130.001(cad.tranç.32f.recicl.8mm M18011),,,25/11/2021,,,PAR,100cm,"1,40",,,,,"1,4",,,,,
MR130.001(cad.tranç.32f.recicl.8mm M18011),,,06/09/2023,,,PAR,100cm,"1,40",,,,,,,,,,
MR130.002(cad.tranç.32fu.reciclado 6mm (m13119),,,17/02/2021,,,PAR,100cm,"1,02",,,,,"1,02",,,,,
MR130.002(cad.tranç.32fu.reciclado 6mm (m13119),,,06/09/2023,,,PAR,100cm,"1,02",,,,,,,,,,
MR130.002(cad.tranç.32fu.reciclado 8mm (M13119),,,17/04/2021,,,PAR,100cm,"1,18",,,,,"1,18",,,,,
MR130.002(cad.tranç.32fu.reciclado 8mm (M13119),,,06/09/2023,,,PAR,100cm,"1,18",,,,,,,,,,
MR130.005(cad.tranç.32fu.reciclado 6mm (M13476),,,17/02/2021,,,PAR,100cm,"1,04",,,,,"1,04",,,,,
MR130.005(cad.tranç.32fu.reciclado 6mm (M13476),,,06/09/2023,,,PAR,100cm,"1,04",,,,,,,,,,
MR130.006(tranç.32fu.redondo recicl.3000/2-32),,,17/04/2021,,,PAR,100cm,"1,99",,,,,"1,99",,,,,
MR130.006(tranç.32fu.redondo recicl.3000/2-32),,,06/09/2023,,,PAR,100cm,"1,99",,,,,,,,,,
MR130.016(cad.tranç.32fu.fio PET cores 3fios espula),,,12/04/2022,,,PAR,100cm,"1,62",,,,,"1,62",,,,,
MR130.016(cad.tranç.32fu.fio PET cores 3fios espula),,,06/09/2023,,,PAR,100cm,"1,62",,,,,,,,,,
MR140.001(cad.tranç.48fus.reciclado 8mm (M6087),,,17/04/2021,,,PAR,100cm,"1,44",,,,,"1,44",,,,,
MR140.001(cad.tranç.48fus.reciclado 8mm (M6087),,,06/09/2023,,,PAR,100cm,"1,44",,,,,,,,,,
MR140.008(cad.tranç.48fu. Pet 8mm ponto quadriculado),,,11/08/2022,,,PAR,100cm,"2,38",,,,,"2,38",,,,,
MR140.008(cad.tranç.48fu. Pet 8mm ponto quadriculado),,,06/09/2023,,,PAR,100cm,"2,38",,,,,,,,,,
M12192 (cad.tear 68fios pol. Reflexx 8mm cores ant.M1308),,,09/06/2026,,,PAR,100CM,"0,78",,,,,,,,,,
M32190 (fita tear 108fios pol. Cores c/goma),,,09/06/2026,,,METRO,10MM,"0,55",,,,,,,,,,
LS 16410 7MM (elás.tear pol. c/bor.revestida bordas),,,08/06/2026,,,PAR,100CM,"1,80",,,,,,,,,,
M21101 (elás. Tear 24fios pol. 10 borr.revestidas cores),,,09/06/2026,,,METRO,7MM,"1,16",,,,,,,,,,
M21192 6MM (elástico tear pol. c/bor.revestida boradas 6mm),,,08/06/2026,,,PAR,100CM,"1,74",,,,,,,,,,
M34003 5MM (elas.tranç.26fu. Pol. 5mm cores),,,08/06/2026,,,PAR,100CM,"2,26",,,,,,,,,,
M34011 5MM (elást.tranç.26fu. 1 fio pol.p/esp. 5mm cores),,,09/06/2026,,,PAR,100CM,"2,37",,,,,,,,,,
