Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
M22035,(cad.tear 8mm pol.c/lurex),,15/06/2021,,,PAR,100cm,"0,97","1,08",,,,,,,,,,,,,,,
M22039,(cad.tear pol.tub.c/lurex irise),,15/06/2021,,,PAR,100cm,"0,95","1,05",,,,,,,,,,,,,,,
M22063,(cadarço metros pol.tubular 5mm cores),,08/07/2026,,,METRO,1000mm,"0,42","0,48","0,49",,,,,,,,,,,,,,
M22063,(cad.tear pol. Tubular 60 fios cores 7mm),,08/07/2026,,,PAR,100cm,"0,86","0,98",1,,,,,,,,,,,,,,
M31133,(fita tear 300fios pol.tricolor ),,19/06/2026,,,METRO,30mm,"2,68","3,05",,,,,,,,,,,,,,,
M32132 10mm,(fita pol.tear cores),,14/10/2022,,,PAR,100cm,"0,96","1,06",,,,,,,,,,,,,,,
M32142,(fita tear pol.c/cordão passador c/goma),,15/06/2021,,,METRO,10mm,"0,46","0,51",,,,,,,,,,,,,,,
M32144,(fita pol.bicolor 280f.tipo MFP),,15/06/2021,,,METRO,35mm,"1,52","1,69",,,,,,,,,,,,,,,
M32144,(fita pol.bicolor 280f.tipo MFP),,12/06/2025,,,METRO,45mm,"1,79","2,03",,,,,,,,,,,,,,,
M32151,(fita pol.bic. Ponteirada),,15/06/2021,,,METRO,15mm,"0,66","0,73",,,,,,,,,,,,,,,
M32151,(fita pol.bic. Ponteirada),,15/06/2021,,,METRO,50mm,"2,17","2,41",,,,,,,,,,,,,,,
M32152,(fita pol.bico c/ponteira),,14/10/2022,,,METRO,10mm,"0,46","0,51",,,,,,,,,,,,,,,
M32152,(fita pol.bico c/ponteira),,14/10/2022,,,METRO,12mm,"0,55","0,61",,,,,,,,,,,,,,,
M32152,(fita pol.bic.ponteirada),,14/10/2022,,,METRO,15mm,"0,68","0,76",,,,,,,,,,,,,,,
M32152 12mm,(fita pol.bico c/ponteira),,14/10/2022,,,PAR,100cm,"1,14","1,26",,,,,,,,,,,,,,,
M32152 15mm,(fita pol.bic.ponteirada),,15/06/2021,,,PAR,100cm,"1,34","1,48",,,,,,,,,,,,,,,
M32152 15mm,(fita pol.bico c/ponteira),,14/10/2022,,,PAR,100cm,"1,4","1,56",,,,,,,,,,,,,,,
M32156,(fita pol.tear p/mts),,02/10/2023,,,METRO,12mm,"2,68","2,98",,,,,,,,,,,,,,,
M32156,(fita pol.tear c/ponteira),,13/06/2024,,,METRO,15mm,"0,48","0,55",,,,,,,,,,,,,,,
M32177 15mm,(fita pol.tear c/3listras color.),,13/06/2024,,,PAR,100cm,"0,98","1,11",,,,,,,,,,,,,,,
M32183,(fita pol.tear bicolor),,08/04/2022,,,METRO,20mm,"0,85","0,95",,,,,,,,,,,,,,,
M32183,(fita pol.tear bicolor),,08/12/2020,,,METRO,20mm,"1,31","1,45",,,,,,,,,,,,,,,
M32208,(fita pol.tear c/borda +grossa),,08/12/2020,,,METRO,25mm,"1,64","1,82",,,,,,,,,,,,,,,
M40105,(fita tear pol.c/lurex irize),,09/01/2023,,,METRO,10mm,"1,16","1,29",,,,,,,,,,,,,,,
M40105,(fita tear pol.c/lurex irize),,16/10/2024,,,METRO,12mm,"0,61","0,68",,,,,,,,,,,,,,,
M40105,(desconto concedido 04/07/2024),,09/01/2023,,,METRO,16mm,"2,02","2,27",,,,,,,,,,,,,,,
M40105,(desconto concedido 04/07/2024),,04/07/2024,,,METRO,16mm,"1,86","2,12",,,,,,,,,,,,,,,
M40105,(desconto concedido 04/07/2024),,16/02/2023,,,METRO,20mm,"2,5","2,78",,,,,,,,,,,,,,,
M4140,(fita pol.tear c/refletivo 3mm),,26/06/2026,,,METRO,8mm,"0,33","0,38",,,,,,,,,,,,,,,
M41426,(fita pol.tear monocolor),,04/07/2024,,,METRO,20mm,"2,32","2,64",,,,,,,,,,,,,,,
M41430,(fita tear pont.c\\lurex),,15/06/2021,,,PAR,100cm,"0,83","0,92",,,,,,,,,,,,,,,
M41430 10mm,(fita pol.tear c/lurex ponteir.),,15/06/2021,,,PAR,100cm,"0,43","0,48",,,,,,,,,,,,,,,
M41430 12mm,(fita pol.tear c/lurex ponteir.),,15/06/2021,,,PAR,100cm,"0,82","0,91",,,,,,,,,,,,,,,
M41445,(fita pol.tear bicolor),,23/09/2020,,,METRO,8mm,"0,38","0,42",,,,,,,,,,,,,,,
M41445 8mm,(fita pol.tear bicolor),,15/06/2021,,,PAR,100cm,"0,61","0,68",,,,,,,,,,,,,,,
M41452,(fita pol.tear listrada),,23/09/2020,,,METRO,15mm,"0,52","0,58",,,,,,,,,,,,,,,
M41457,(fita pol.tear listrada),,15/06/2021,,,METRO,12mm,"0,41","0,46",,,,,,,,,,,,,,,
M41457,(fita pol.tear listrada),,15/06/2021,,,METRO,12mm,"0,51","0,57",,,,,,,,,,,,,,,
M41459,(fita pol.tear 3 listras),,15/06/2021,,,METRO,15mm,"0,64","0,71",,,,,,,,,,,,,,,
M41472,(fita tear pol.c/ 2 refletivo 2mm),,15/06/2021,,,METRO,12mm,"0,41","0,46",,,,,,,,,,,,,,,
M41475,(fita tear pol.c/detalhe color.),,29/10/2020,,,METRO,20mm,"3,22","3,57",,,,,,,,,,,,,,,
M41480,(fita tear 62fios pol. Bicolor),,15/06/2021,,,METRO,23mm,"1,09","1,21",,,,,,,,,,,,,,,
M41490,(fita tear pol.cores),,14/10/2024,,,METRO,15mm,"0,72","0,82",,,,,,,,,,,,,,,
M41495,(fita tear pol.cores),,27/10/2020,,,METRO,10mm,"0,44","0,55",,,,,,,,,,,,,,,
M41499,(fita pol.tear c/sublimação 1 lado),,05/02/2021,,,METRO,10mm,"0,38","0,42",,,,,,,,,,,,,,,
M41534,(fita tear pol.c/refletivo colado 6mm),,19/04/2021,,,METRO,10mm,"0,59","0,65",,,,,,,,,,,,,,,
M41540,(fita tear 22fios pol.+88fios nylon 015),,01/11/2022,,,METRO,15mm,"2,47","2,75",,,,,,,,,,,,,,,
M4194,(fita pol.tear tubular c/detalhe),,08/11/2019,,,METRO,10mm,"2,06","2,29",,,,,,,,,,,,,,,
M4194,(fita tear 80fios pol. Tubular bicolor),,08/11/2021,,,METRO,15mm,"0,88","0,98",,,,,,,,,,,,,,,
M5124,(fita tear 468 fios pol. Cores c/ligamento),,15/06/2021,,,METRO,12mm,"0,63","0,7",,,,,,,,,,,,,,,
M6015,(17100 algo.encer.tran),,15/06/2021,,,PAR,100cm,"1,62","1,8",,,,,,,,,,,,,,,
M6049-E,(at.algodão encer.),,15/06/2021,,,PAR,100cm,"0,86","0,95",,,,,,,,,,,,,,,
M7012,(cad.tranç.32FU.redondo algodão encerrado),,22/01/2024,,,METRO,1000mm,"1,32","1,47",,,,,,,,,,,,,,,
