Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,60/90,-3,-3
M15114,(cad.tranç.48fu.4fios pol.p/esp.bicolor Mormaii),,11/04/2025,,,PAR,100cm,"2,05",,,,,,,,,,,,
M15115,(cad.tranç.48fu.4fios pol.p/esp.18mm bicolor Mormaii pont.colorida),,11/04/2025,,,PAR,100cm,"2,15",,,,,,,,,,,,
M15116,(cad.tranç.48fu.4fios pol.p/esp.18mm monocolor Mormaii pont.colorida,,11/04/2025,,,PAR,100cm,"2,15",,,,,,,,,,,,
M15117,(cad.tranç.48fu.3fios p/espula pol. 12mm Reebok),,24/06/2025,,,PAR,100cm,"1,83",,,,,,,,,,,,
M16063,(cad.tran.16fu.pol.ponto traba.),,01/09/2022,,,PAR,100cm,"1,27",,"1,23",,,,,,,,,,
M16063,(com ponteira personalizada),,01/09/2022,,,PAR,100cm,"1,73",,"1,68",,,,,,,,,,
M16150,(cad.tranç.16fu.4fios pol.p/espula c/ench.ponti. OUS),,24/07/2024,,,PAR,100cm,"1,38",,,,,,,,,,,,
M16165,(cad.tranç.16fu.pol.),,11/02/2021,,,PAR,100cm,,,"0,75",,,,,,,,,,
M16214,(cad.tranç.17fusos 2fios pol.p/espula 6mm Mormaii),,03/02/2026,,,PAR,100cm,"0,72",,,,,,,,,,,,
M18006,(cad.tranç.32fus.pol. Cores),,01/09/2022,,,PAR,100cm,"1,16",,"1,13",,,,,,,,,,
M18006,(cad.tranç.32fus.pol.prt/branco),,01/09/2022,,,PAR,100cm,"1,32",,"1,28",,,,,,,,,,
MR,(fita vivo fio PET M4168 10mm),,15/03/2022,,,METRO,10mm,"0,91",,,,,,,,,,,,
MR140.001,(cad.tranç.48fu.PET 8mm M6087),,27/10/2022,,,PAR,100cm,"1,42",,,,,,,,,,,,
MR140.003,(cad.tranç.48fu. PET cores 8mm M15033),,16/05/2022,,,PAR,100cm,"1,90",,,,,,,,,,,,
MR140.003,(cad.tranç.48fu.PET cores 6mm M15033),,16/05/2022,,,PAR,100cm,"1,75",,,,,,,,,,,,
MR140.007,(cad.tranç.48fu.fio PET 8mm M15055),,28/06/2024,,,PAR,100cm,"1,52",,"1,47",,,,,,,,,,
MR140.015,(cad.tranç.48fu.fio PET 15mm cores Puma),,24/04/2023,,,PAR,100cm,"2,98",,,,,,,,,,,,
