Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M31118(fita tear 124fios pol.c/bordas bicolor c/goma ADIDAS),,,01/11/2022,,,metro,16 MM,"1,51","1,47","1,47",,,,,
,,,,,,,,,,,,,,,
M31108(fita tear pol.dupla face New Balance 72fios c/aux.ligamento),,,12/09/2023,,,metro,10 MM,,,,,,"0,78","0,76",
M31108(fita tear pol.dupla face New Balance 72fios c/aux.ligamento),,,01/11/2022,,,metro,10 MM,"0,78","0,76","0,76",,,,,
,,,,,,,,,,,,,,,
M31117(fita tear 80 fios pol.tricolor FILA),,,23/04/2024,,,metro,12 MM,,,,,,"0,58","0,56",
M31117(fita tear 80 fios pol.tricolor FILA),,,01/11/2022,,,metro,12 MM,"0,58","0,56","0,56",,,,,
,,,,,,,,,,,,,,,
M31118(fita tear 124fios pol.c/bordas bicolor c/goma ADIDAS),,,16/05/2024,,,metro,16 MM,,,,,,"1,51","1,47",
M31118(fita tear 124fios pol.c/bordas bicolor c/goma ADIDAS),,,01/11/2022,,,metro,16 MM,"1,51","1,47","1,47",,,,,
,,,,,,,,,,,,,,,
M31119(fita tear 112fios pol. Três cores Fila c/goma),,,01/11/2022,,,metro,16 MM,"0,78","0,76","0,76",,,"0,53","0,51",
M31119(fita tear 112fios pol. Três cores Fila c/goma),,,01/11/2022,,,metro,16 MM,"0,53","0,51","0,51",,,,,
,,,,,,,,,,,,,,,
M31120(fita tear 116fios pol.bicolor c/det.central c/goma Asics),,,01/11/2022,,,metro,14 MM,"0,89","0,86","0,86",,,"0,76","0,74",
M31120(fita tear 116fios pol.bicolor c/det.central c/goma Asics),,,01/11/2022,,,metro,14 MM,"0,76","0,74","0,74",,,,,
,,,,,,,,,,,,,,,
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,01/11/2022,,,metro,10 MM,"0,64","0,62","0,62",,,"0,83","0,8",
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,01/11/2022,,,metro,10 MM,"0,83","0,80","0,80",,,,,
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,01/11/2022,,,metro,12 MM,"0,74","0,72","0,72",,,"0,78","0,76",
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,01/11/2022,,,metro,12 MM,"0,78","0,76","0,76",,,,,
,,,01/11/2022,,,metro,15 MM,"0,94","0,91","0,91",,,,,
M31120(fita tear 116fios pol.bicolor c/det.central c/goma Asics),,,28/06/2024,,,metro,14 MM,,,,,,"0,89","0,86",
M31120(fita tear 116fios pol.bicolor c/det.central c/goma Asics),,,01/11/2022,,,metro,14 MM,"0,89","0,86","0,86",,,,,
M31123(fita tear 104fios pol.com frizo cores New Balance),,,01/11/2022,,,metro,15 MM,"0,88","0,85","0,85",,,,,
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,11/07/2024,,,metro,10 MM,,,,,,"0,64","0,62",
M31122(fita tear 80fios pol.tricolor c/goma FILA),,,01/11/2022,,,metro,10 MM,"0,64","0,62","0,62",,,,,
